Date,Open,High,Low,Close
2020-05-28,9066.18,9523.81,9066.18,9442.87
2020-05-29,9442.87,9615.38,9345.79,9398.5
2020-06-01,9460.74,9689.92,9407.34,9652.51
2020-06-02,9652.51,10352,9354.54,9523.81
2020-06-03,9523.81,9624.64,9416.2,9587.73
2020-06-04,9587.73,9871.67,9469.7,9775.17
2020-06-05,9775.17,9852.22,9624.64,9727.63
2020-06-08,9708.74,9784.74,9661.84,9718.17
2020-06-09,9708.74,9881.42,9615.38,9823.18
2020-06-10,9823.18,9990.01,9708.74,9852.22
2020-06-11,9852.22,9970.09,9099.18,9345.79
2020-06-12,9345.79,9551.1,9242.14,9425.07
2020-06-15,9337.07,9496.68,8912.66,9442.87
2020-06-16,9433.96,9578.54,9389.67,9505.7
2020-06-17,9505.7,9551.1,9250.69,9407.34
2020-06-18,9407.34,9478.67,9276.44,9363.3
2020-06-19,9363.3,9416.2,9242.14,9302.33
2020-06-22,9328.36,9775.17,9285.05,9689.92
2020-06-23,9689.92,9718.17,9578.54,9652.51
2020-06-24,9652.51,9661.84,9208.1,9267.84
2020-06-25,9267.84,9328.36,9017.13,9302.33
2020-06-26,9302.33,9310.99,9041.59,9165.9
2020-06-29,9124.09,9233.61,9025.27,9208.1
2020-06-30,9208.1,9233.61,9074.41,9165.9
2020-07-01,9165.9,9302.33,9099.18,9242.14
2020-07-02,9242.14,9267.84,8960.57,9140.77
2020-07-03,9149.13,9149.13,9057.97,9082.65
2020-07-06,9041.59,9354.54,9041.59,9285.05
2020-07-07,9285.05,9372.07,9208.1,9250.69
2020-07-08,9250.69,9469.7,9233.61,9433.96
2020-07-09,9433.96,9469.7,9174.31,9250.69
2020-07-10,9250.69,9259.26,9132.42,9233.61
2020-07-13,9267.84,9337.07,9199.63,9250.69
2020-07-14,9250.69,9276.44,9124.09,9242.14
2020-07-15,9242.14,9276.44,9165.9,9225.09
2020-07-16,9225.09,9233.61,9041.59,9124.09
2020-07-17,9124.09,9182.74,9082.65,9165.9
2020-07-20,9174.31,9233.61,9140.77,9174.31
2020-07-21,9174.31,9433.96,9157.51,9380.86
2020-07-22,9380.86,9398.5,9295.49,9379.98
2020-07-23,9381.48,9668,9377.26,9618.53
2020-07-24,9618.62,9618.62,9477.86,9594.72
2020-07-27,9888.65,11131,9888.65,11131
2020-07-28,11126,11392,10605,11027
2020-07-29,11025,11348,10860,11286
2020-07-30,11297,11314,10877,11094
2020-07-31,11097,11452,10984,11328
2020-08-03,11137,11476,10956,11260
2020-08-04,11223,11414,11029,11246
2020-08-05,11241,11791,11105,11777
2020-08-06,11780,11910,11561,11742
2020-08-07,11747,11908,11354,11508
2020-08-10,11648,12072,11648,11839
2020-08-11,11839,11940,11142,11311
2020-08-12,11303,11620,11194,11516
2020-08-13,11510,11733,11288,11698
2020-08-14,11698,11862,11665,11810
2020-08-17,11863,12474,11777,12334
2020-08-18,12335,12413,11864,12074
2020-08-19,12075,12087,11598,11712
2020-08-20,11716,11889,11684,11831
2020-08-21,11833,11881,11614,11678
2020-08-24,11671,11827,11598,11762
2020-08-25,11759,11787,11135,11314
2020-08-26,11313,11541,11261,11478
2020-08-27,11477,11589,11140,11284
2020-08-28,11289,11552,11271,11513
2020-08-31,11608,11775,11586,11640
2020-09-01,11638,12055,11551,12028
2020-09-02,12027,12049,11221,11386
2020-09-03,11388,11466,10515,10736
2020-09-04,10734,10760,10033,10588
2020-09-07,10329,10354,9895.7,10161
2020-09-08,10161,10444,9940.56,10032
2020-09-09,10030,10348,9868.75,10245
2020-09-10,10245,10493,10193,10349
2020-09-11,10352,10381,10217,10338
2020-09-14,10304,10752,10260,10717
2020-09-15,10718,10934,10631,10856
2020-09-16,10858,11094,10673,11020
2020-09-17,11019,11046,10761,10962
2020-09-18,10963,11040,10826,10878
2020-09-21,10877,10991,10350,10509
2020-09-22,10509,10577,10367,10551
2020-09-23,10551,10558,10171,10258
2020-09-24,10260,10712,10214,10653
2020-09-25,10652,10791,10565,10732
2020-09-28,10727,10949,10727,10890
2020-09-29,10890,10890,10644,10770
2020-09-30,10773,10858,10666,10709
2020-10-01,10708,10921,10461,10605
2020-10-02,10593,10666,10394,10524
2020-10-05,10654,10765,10631,10743
2020-10-06,10744,10800,10533,10575
2020-10-07,10575,10680,10555,10664
2020-10-08,10663,10955,10543,10885
2020-10-09,10885,11109,10842,11046
2020-10-12,11328,11718,11230,11689
2020-10-13,11692,11704,11316,11453
2020-10-14,11455,11549,11304,11383
2020-10-15,11384,11604,11272,11507
2020-10-16,11506,11545,11226,11325
2020-10-19,11463,11819,11419,11757
2020-10-20,11756,12046,11691,11927
2020-10-21,11930,12988,11900,12942
2020-10-22,12939,13219,12706,13153
2020-10-23,13156,13196,12736,12929
2020-10-26,13021,13241,12805,13054
2020-10-27,13056,13752,13052,13737
2020-10-28,13737,13855,12911,13268
2020-10-29,13267,13642,12989,13418
2020-10-30,13412,13674,13141,13637
2020-11-02,13698,13826,13224,13580
2020-11-03,13582,13847,13303,13832
2020-11-04,13832,14255,13542,14123
2020-11-05,14122,15561,14085,15555
2020-11-06,15559,15945,15223,15486
2020-11-09,15520,15810,14837,15249
2020-11-10,15254,15475,15100,15385
2020-11-11,15382,15979,15289,15813
2020-11-12,15810,16337,15486,16220
2020-11-13,16226,16482,15978,16210
2020-11-16,15942,16874,15879,16734
2020-11-17,16728,17852,16568,17597
2020-11-18,17604,18456,17284,17838
2020-11-19,17835,18168,17379,17889
2020-11-20,17881,18807,17730,18640
2020-11-23,18628,18691,18030,18421
2020-11-24,18421,19419,18129,19122
2020-11-25,19127,19487,18656,18756
2020-11-26,18778,18905,16275,17196
2020-11-27,17200,17478,16469,17079
2020-11-30,18161,19842,18156,19484
2020-12-01,19490,19909,18262,18939
2020-12-02,18952,19333,18357,19118
2020-12-03,19134,19604,18892,19479
2020-12-04,19483,19547,18712,18979
2020-12-07,19145,19413,18912,19124
2020-12-08,19126,19294,18550,18550
2020-12-09,18472,18605,17672,18561
2020-12-10,18560,18636,17931,18336
2020-12-11,18334,18382,17605,17990
2020-12-14,19111,19330,19010,19282
2020-12-15,19286,19552,19065,19472
2020-12-16,19473,21435,19308,21377
2020-12-17,21397,23692,21245,23024
2020-12-18,22976,23263,22364,22774
2020-12-21,23485,24073,22056,23173
2020-12-22,23185,23743,22390,23743
2020-12-23,23724,24045,22666,23281
2020-12-24,23270,23465,22722,23333
2020-12-28,26474,27429,26089,26821
2020-12-29,26826,27173,25883,27043
2020-12-30,27012,28985,26940,28742
2020-12-31,28732,29301,27976,29170
2021-01-04,33148,33621,28497,31388
2021-01-05,31387,34486,29998,34285
2021-01-06,34310,36478,33465,36074
2021-01-07,36058,40301,36053,39632
2021-01-08,39675,41946,36697,39037
2021-01-11,38456,38661,30314,34468
2021-01-12,34470,36609,32527,33683
2021-01-13,33649,37804,32436,37219
2021-01-14,37165,40046,36786,38941
2021-01-15,38873,39678,34459,35585
2021-01-18,36215,37424,34823,36506
2021-01-19,36464,37833,36117,36695
2021-01-20,36686,36705,33537,35030
2021-01-21,35008,35666,30121,30824
2021-01-22,30857,33850,28823,33555
2021-01-25,32181,34868,31938,32487
2021-01-26,32488,32792,30872,32657
2021-01-27,32736,32937,29272,30611
2021-01-28,30601,33548,29938,33548
2021-01-29,33537,38604,32003,34569
2021-02-01,33007,34701,32343,33560
2021-02-02,33562,36004,33464,35652
2021-02-03,35629,37523,35426,37309
2021-02-04,37315,38740,36250,37295
2021-02-05,37294,38339,36638,37771
2021-02-08,38829,44988,38078,44715
2021-02-09,44669,48165,44669,46827
2021-02-10,46880,47337,43769,45214
2021-02-11,45230,48619,44061,47678
2021-02-12,47710,48919,46264,47678
2021-02-15,49114,49114,46002,48246
2021-02-16,48260,50523,47077,49150
2021-02-17,49135,52623,48996,52127
2021-02-18,52143,52540,50909,51840
2021-02-19,51875,55710,50798,55353
2021-02-22,57356,57587,48391,54151
2021-02-23,54157,54330,45055,48685
2021-02-24,48697,51345,47041,48797
2021-02-25,48885,52051,47490,48165
2021-02-26,48126,48436,44256,46234
2021-03-01,45271,49488,44976,49138
2021-03-02,49169,50218,47099,47819
2021-03-03,47845,52601,47790,50618
2021-03-04,50602,51773,47540,48251
2021-03-05,48251,49463,46382,49254
2021-03-08,50515,51978,49358,51605
2021-03-09,51602,54870,51602,54777
2021-03-10,54807,57379,53079,56928
